City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,thanatpin,17.2119,96.3033,23.1,27,16,2.75,MM,1708049627
251,kavieng,-2.5744,150.7967,28.97,73,99,2.17,PG,1708049628
252,orda,57.1951,56.9091,-32.42,97,21,1.63,RU,1708049629
253,kulhudhuffushi,6.6221,73.07,27.93,72,90,2.93,MV,1708049629
254,kievka,50.2619,71.5514,-34.42,99,58,2.88,KZ,1708049630
255,balakovo,52.0278,47.8007,-20.57,88,93,3.64,RU,1708049631
256,serov,59.6033,60.5787,-24.88,94,100,0.94,RU,1708049632
257,kununurra,-15.7667,128.7333,33.99,59,100,3.6,AU,1708049632
258,vila velha,-20.3297,-40.2925,22.97,97,100,1.54,BR,1708049158
259,la sarre,48.8002,-79.1996,-5.27,97,100,1.86,CA,1708049633
260,happy valley-goose bay,53.3168,-60.3315,-7.95,91,100,5.36,CA,1708049221
261,la foa,-21.7108,165.8276,29.38,65,53,4.6,NC,1708049635
262,n'zeto,-7.2312,12.8666,27.49,86,94,1.29,AO,1708049636
263,mazagao,-0.115,-51.2894,26.03,94,74,1.64,BR,1708049636
264,williams lake,52.1415,-122.1445,-9.41,89,51,0.16,CA,1708049414
265,simanggang,1.2472,111.4528,26.79,90,61,2.1,MY,1708049638
266,nyurba,63.2842,118.3319,-35.96,99,94,2.89,RU,1708049638
267,xuanzhou,30.9525,118.7553,6.84,57,7,2.87,CN,1708049462
268,miura,35.14,139.6192,13.94,44,42,11.17,JP,1708049640
269,san luis de la loma,17.2706,-100.8939,24.72,81,69,2.05,MX,1708049641
270,as salamiyah,35.0113,37.0532,9.8,81,100,0.96,SY,1708049076
271,uturoa,-16.7333,-151.4333,27.85,72,37,7.52,PF,1708049160
272,kamo,37.65,139.05,4.81,76,98,4.49,JP,1708049643
273,horsham,51.064,-0.3272,12.11,83,75,1.03,GB,1708049330
274,petropavlovsk-kamchatsky,53.0452,158.6483,-12.53,70,0,2.0,RU,1708048854
275,arraial do cabo,-22.9661,-42.0278,24.98,83,75,3.09,BR,1708049190
276,vila franca do campo,37.7167,-25.4333,18.27,99,96,6.86,PT,1708049350
277,guerrero negro,27.9769,-114.0611,15.85,77,0,5.28,MX,1708049253
278,safi,32.1667,-8.8333,14.13,94,100,4.14,MA,1708049647
279,san julian,21.0167,-102.1667,16.72,48,100,2.77,MX,1708049647
280,lorengau,-2.0226,147.2712,29.63,74,100,4.46,PG,1708049648
281,pelican bay,26.2312,-81.8056,20.55,86,0,1.54,US,1708049649
282,midland,31.9974,-102.0779,18.37,29,0,5.66,US,1708049606
283,manipal,13.352,74.787,24.02,64,53,1.83,IN,1708049650
284,russellville,35.2784,-93.1338,14.08,63,0,0.0,US,1708049641
285,zarasai,55.7333,26.25,0.52,93,100,3.13,LT,1708049651
286,egilsstadir,65.2653,-14.3948,-5.92,92,100,2.42,IS,1708049271
287,florestopolis,-22.8633,-51.3872,20.67,98,100,4.37,BR,1708049652
288,medeiros neto,-17.3739,-40.2206,25.38,79,100,2.55,BR,1708049653
289,sao joao da barra,-21.6403,-41.0511,23.16,94,95,3.48,BR,1708049654
290,fortaleza,-3.7227,-38.5247,27.9,89,40,4.63,BR,1708049395
291,ambodifotatra,-16.9833,49.85,24.85,93,100,2.89,MG,1708049655
292,bol,13.4586,14.7147,21.59,39,0,9.53,TD,1708049656
293,pauini,-7.7136,-66.9764,23.96,96,97,0.41,BR,1708049656
294,afaahiti,-17.75,-149.2833,29.93,81,51,6.07,PF,1708049147
295,prado,-17.3411,-39.2208,26.47,88,100,4.35,BR,1708049288
296,nema,57.5067,50.5011,-27.98,98,100,1.88,RU,1708049255
297,portales,34.1862,-103.3344,12.19,23,100,3.65,US,1708049659
298,selsey,50.735,-0.7898,11.94,97,98,3.76,GB,1708049660
299,mammoth lakes,37.6485,-118.9721,-1.52,67,0,1.54,US,1708049661
300,challapata,-18.9,-66.7667,12.7,72,100,3.76,BO,1708049662
301,kristinestad,62.2743,21.376,0.61,99,100,3.94,FI,1708049662
302,mount darwin,-16.7725,31.5838,18.88,60,1,0.83,ZW,1708049663
303,tbilisskaya,45.3633,40.19,1.53,75,98,9.59,RU,1708049664
304,kourou,5.1552,-52.6478,26.03,84,43,3.23,GF,1708049664
305,pacific grove,36.6177,-121.9166,15.01,80,100,1.79,US,1708048859
306,las lomitas,-24.7096,-60.593,24.41,59,97,3.78,AR,1708049666
307,fairmont,39.4851,-80.1426,8.65,65,59,4.65,US,1708049564
308,tamiahua,21.2667,-97.45,21.28,88,91,3.7,MX,1708049667
309,san fernando de apure,7.8878,-67.4724,30.44,46,98,1.44,VE,1708049668
310,fort bragg,35.139,-79.006,14.89,54,0,3.09,US,1708049125
311,harper,4.375,-7.7169,27.55,86,100,3.88,LR,1708049669
312,karratha,-20.7377,116.8463,32.65,50,81,3.77,AU,1708049215
313,derbent,42.0678,48.2899,6.07,94,100,3.07,RU,1708049583
314,srikakulam,18.3,83.9,21.21,62,0,2.14,IN,1708049672
315,kiunga,-6.1219,141.2906,33.82,54,100,1.3,PG,1708049183
316,novooleksiyivka,46.2269,34.6428,2.81,72,100,9.15,UA,1708049673
317,luderitz,-26.6481,15.1594,16.06,73,5,8.62,NA,1708049100
318,puerto santa,-8.9906,-78.6456,24.36,83,100,3.86,PE,1708049675
319,karlivka,49.4567,35.1295,-1.33,67,99,4.52,UA,1708049675
320,natal,-5.795,-35.2094,25.36,94,75,7.72,BR,1708049676
321,cockburn town,21.4612,-71.1419,24.26,80,73,10.75,TC,1708049677
322,anna regina,7.2644,-58.5077,25.58,84,96,3.82,GY,1708049677
323,micheweni,-4.9667,39.8333,28.0,76,93,5.04,TZ,1708049678
324,hafizabad,32.0679,73.6854,9.63,25,0,0.5,PK,1708049679
325,gimbi,9.1667,35.8333,15.1,40,82,1.11,ET,1708049680
326,melito di porto salvo,37.9222,15.7714,13.08,64,32,1.21,IT,1708049680
327,tura,25.5198,90.2201,19.4,52,0,0.92,IN,1708049161
328,coyhaique,-45.5752,-72.0662,16.97,51,100,1.03,CL,1708049682
329,portage,41.1667,-81.1998,2.19,69,100,7.72,US,1708049632
330,mount gambier,-37.8333,140.7667,23.16,39,75,3.81,AU,1708049683
331,zouerate,22.7187,-12.4521,22.53,30,64,4.13,MR,1708049684
332,aginskoye,51.1,114.53,-18.62,95,100,1.59,RU,1708049542
333,cambria,35.5641,-121.0808,16.24,91,82,0.89,US,1708049685
334,kuta,-8.7233,115.1723,30.0,79,40,4.12,ID,1708049686
335,santa ana,33.7456,-117.8678,17.59,80,40,2.57,US,1708049433
336,kandyagash,49.4744,57.4233,-26.88,87,4,5.41,KZ,1708049687
337,karlin,50.0927,14.4471,7.78,96,94,1.54,CZ,1708049688
338,axim,4.8699,-2.2405,27.25,92,97,2.51,GH,1708049689
339,carutapera,-1.195,-46.02,25.29,91,62,2.09,BR,1708049142
340,eirunepe,-6.6603,-69.8736,24.06,98,100,0.38,BR,1708049690
341,port macquarie,-31.4333,152.9167,25.5,71,56,4.09,AU,1708049279
342,paita,-5.0892,-81.1144,26.49,80,100,5.28,PE,1708049692
343,port lincoln,-34.7333,135.8667,21.55,59,9,4.14,AU,1708049096
344,inhambane,-23.865,35.3833,25.43,91,3,3.32,MZ,1708049693
345,joshimath,30.5667,79.5667,6.26,25,0,3.6,IN,1708049694
346,altai,46.3722,96.2583,-3.82,59,97,11.3,MN,1708049177
